2000,0,2,2
P00028,B029,2,1
P00211,B006,3,1
P00019,B042,3,1
P00019,B045,3,2
P00019,B046,3,2
P00005,B077,1,2
P00005,B077,1,2
P00005,B078,3,0
P00005,B078,3,0
P00032,B005,1,2
P00184,B012,2,1
P00184,B012,2,1
P00129,B002,1,2
P00129,B004,2,1
P00026,B042,2,1
P00094,B013,2,1
P00225,B014,2,1
P00225,B014,2,1
P00248,B007,2,1
P00026,B047,2,1
P00248,B008,2,1
P00248,B009,2,1
P00248,B010,1,1
P00026,B052,2,1
P00001,B215,3,2
P00001,B215,3,2
P00001,B216,3,1
P00001,B216,3,1
P00114,B003,2,1
P00290,B001,1,1
P00114,B004,1,2
P00290,B001,1,1
P00290,B002,1,1
P00023,B009,1,2
P00290,B002,1,1
P00290,B003,3,1
P00290,B003,3,1
P00014,B050,2,1
P00290,B004,3,2
P00290,B004,3,2
P00290,B005,2,2
P00290,B005,2,2
P00290,B006,2,1
P00290,B006,2,1
P00290,B007,1,1
P00290,B007,1,1
P00290,B008,1,1
P00290,B008,1,1
P00290,B009,2,1
P00290,B009,2,1
P00290,B010,1,1
P00290,B010,1,1
P00291,B001,2,2
P00291,B001,2,2
P00291,B002,2,1
P00291,B002,2,1
P00291,B003,1,1
P00291,B003,1,1
P00291,B004,2,1
P00291,B004,2,1
P00001,B186,2,2
P00291,B005,2,1
P00262,B001,3,2
P00292,B001,2,1
P00292,B001,2,1
P00264,B001,2,1
P00296,B001,1,2
P00296,B001,1,2
P00296,B002,1,1
P00296,B002,1,1
P00296,B003,2,1
P00296,B003,2,1
P00297,B001,2,1
P00297,B001,2,1
P00265,B001,1,2
P00297,B002,2,1
P00264,B002,1,2
P00297,B002,2,1
P00297,B003,2,2
P00266,B001,3,2
P00297,B003,2,2
P00266,B002,3,1
P00293,B001,1,2
P00293,B001,1,2
P00267,B002,3,2
P00293,B002,1,1
P00014,B054,2,1
P00293,B002,1,1
P00293,B003,1,1
P00014,B055,2,1
P00293,B003,1,1
P00294,B001,1,1
P00294,B001,1,1
P00001,B217,2,1
P00001,B217,2,1
P00001,B218,2,1
P00001,B218,2,1
P00269,B002,3,1
P00296,B004,1,1
P00296,B004,1,1
P00269,B003,2,1
P00296,B005,1,1
P00296,B005,1,1
P00001,B219,2,1
P00269,B006,2,1
P00001,B219,2,1
P00269,B007,2,1
P00001,B220,2,1
P00001,B220,2,1
P00290,B011,2,2
P00269,B010,2,1
P00290,B011,2,2
P00290,B012,2,1
P00270,B002,2,1
P00290,B012,2,1
P00290,B013,2,2
P00290,B013,2,2
P00290,B014,2,1
P00290,B014,2,1
P00034,B034,2,1
P00034,B050,2,1
P00034,B050,2,1
P00028,B030,2,2
P00027,B005,2,1
P00067,B030,2,1
P00054,B004,2,2
P00054,B005,2,1
P00005,B065,3,1
P00065,B004,2,2
P00068,B002,3,0
P00068,B003,3,0
P00068,B004,3,0
P00068,B005,3,0
P00005,B068,1,2
P00007,B083,3,0
P00005,B073,1,2
P00005,B073,1,2
P00005,B074,1,1
P00005,B074,1,1
P00067,B020,2,1
P00276,B001,2,1
P00274,B001,3,1
P00017,B011,3,1
P00017,B011,3,1
P00016,B094,1,1
P00016,B094,1,1
P00016,B095,1,1
P00016,B095,1,1
P00016,B096,1,1
P00016,B097,2,1
P00016,B097,2,1
P00017,B012,2,1
P00017,B012,2,1
P00017,B013,2,1
P00017,B013,2,1
P00017,B014,2,1
P00017,B014,2,1
P00017,B015,1,1
P00017,B015,1,1
P00031,B034,2,1
P00031,B035,2,1
P00286,B001,2,1
P00286,B001,2,1
P00286,B002,2,1
P00286,B002,2,1
P00286,B003,2,1
P00286,B003,2,1
P00286,B004,1,1
P00286,B004,1,1
P00286,B005,2,1
P00286,B005,2,1
P00286,B006,2,1
P00286,B006,2,1
P00286,B007,2,1
P00286,B007,2,1
P00287,B001,1,1
P00287,B001,1,1
P00270,B003,1,2
P00095,B003,3,1
P00270,B003,1,2
P00095,B004,3,1
P00095,B005,3,1
P00095,B006,3,1
P00095,B007,3,2
P00095,B008,3,1
P00287,B002,1,2
P00095,B009,3,1
P00287,B002,1,2
P00095,B012,3,1
P00279,B003,2,1
P00279,B003,2,1
P00279,B004,2,1
P00279,B004,2,1
P00279,B005,2,2
P00279,B005,2,2
P00105,B019,2,1
P00279,B006,2,2
P00279,B006,2,2
